usuario,rival1,rival2,fechaHora,golesRival1,golesRival2
ana@demo.com,Mexico,South Africa,2026-06-11 13:00,0,4
bruno@demo.com,Mexico,South Africa,2026-06-11 13:00,4,2
carla@demo.com,Mexico,South Africa,2026-06-11 13:00,2,1
diego@demo.com,Mexico,South Africa,2026-06-11 13:00,3,2
ana@demo.com,South Korea,Czechia,2026-06-11 20:00,2,1
bruno@demo.com,South Korea,Czechia,2026-06-11 20:00,3,2
carla@demo.com,South Korea,Czechia,2026-06-11 20:00,2,3
diego@demo.com,South Korea,Czechia,2026-06-11 20:00,0,4
ana@demo.com,Canada,Bosnia-Herzegovina,2026-06-12 13:00,1,2
bruno@demo.com,Canada,Bosnia-Herzegovina,2026-06-12 13:00,2,3
carla@demo.com,Canada,Bosnia-Herzegovina,2026-06-12 13:00,3,4
diego@demo.com,Canada,Bosnia-Herzegovina,2026-06-12 13:00,0,1
ana@demo.com,United States,Paraguay,2026-06-12 19:00,0,3
bruno@demo.com,United States,Paraguay,2026-06-12 19:00,1,4
carla@demo.com,United States,Paraguay,2026-06-12 19:00,2,0
diego@demo.com,United States,Paraguay,2026-06-12 19:00,3,1
ana@demo.com,Qatar,Switzerland,2026-06-13 13:00,1,1
bruno@demo.com,Qatar,Switzerland,2026-06-13 13:00,2,0
carla@demo.com,Qatar,Switzerland,2026-06-13 13:00,3,1
diego@demo.com,Qatar,Switzerland,2026-06-13 13:00,4,2
ana@demo.com,Brazil,Morocco,2026-06-13 16:00,4,0
bruno@demo.com,Brazil,Morocco,2026-06-13 16:00,0,4
carla@demo.com,Brazil,Morocco,2026-06-13 16:00,1,2
diego@demo.com,Brazil,Morocco,2026-06-13 16:00,2,3
ana@demo.com,Haiti,Scotland,2026-06-13 19:00,1,2
bruno@demo.com,Haiti,Scotland,2026-06-13 19:00,3,0
carla@demo.com,Haiti,Scotland,2026-06-13 19:00,4,2
diego@demo.com,Haiti,Scotland,2026-06-13 19:00,0,2
ana@demo.com,Australia,Türkiye,2026-06-13 22:00,3,2
bruno@demo.com,Australia,Türkiye,2026-06-13 22:00,3,4
carla@demo.com,Australia,Türkiye,2026-06-13 22:00,0,4
diego@demo.com,Australia,Türkiye,2026-06-13 22:00,1,4
ana@demo.com,Germany,Curaçao,2026-06-14 11:00,0,2
bruno@demo.com,Germany,Curaçao,2026-06-14 11:00,1,3
carla@demo.com,Germany,Curaçao,2026-06-14 11:00,4,1
diego@demo.com,Germany,Curaçao,2026-06-14 11:00,3,0
ana@demo.com,Netherlands,Japan,2026-06-14 14:00,1,2
bruno@demo.com,Netherlands,Japan,2026-06-14 14:00,2,0
carla@demo.com,Netherlands,Japan,2026-06-14 14:00,3,1
diego@demo.com,Netherlands,Japan,2026-06-14 14:00,1,2
ana@demo.com,Ivory Coast,Ecuador,2026-06-14 17:00,0,4
bruno@demo.com,Ivory Coast,Ecuador,2026-06-14 17:00,1,1
carla@demo.com,Ivory Coast,Ecuador,2026-06-14 17:00,2,1
diego@demo.com,Ivory Coast,Ecuador,2026-06-14 17:00,3,2
ana@demo.com,Sweden,Tunisia,2026-06-14 20:00,2,3
bruno@demo.com,Sweden,Tunisia,2026-06-14 20:00,3,4
carla@demo.com,Sweden,Tunisia,2026-06-14 20:00,4,2
diego@demo.com,Sweden,Tunisia,2026-06-14 20:00,0,1
ana@demo.com,Spain,Cape Verde,2026-06-15 10:00,0,2
bruno@demo.com,Spain,Cape Verde,2026-06-15 10:00,1,3
carla@demo.com,Spain,Cape Verde,2026-06-15 10:00,2,4
diego@demo.com,Spain,Cape Verde,2026-06-15 10:00,3,0
ana@demo.com,Belgium,Egypt,2026-06-15 13:00,4,1
bruno@demo.com,Belgium,Egypt,2026-06-15 13:00,0,0
carla@demo.com,Belgium,Egypt,2026-06-15 13:00,1,1
diego@demo.com,Belgium,Egypt,2026-06-15 13:00,2,2
ana@demo.com,Saudi Arabia,Uruguay,2026-06-15 16:00,3,1
bruno@demo.com,Saudi Arabia,Uruguay,2026-06-15 16:00,2,1
carla@demo.com,Saudi Arabia,Uruguay,2026-06-15 16:00,0,4
diego@demo.com,Saudi Arabia,Uruguay,2026-06-15 16:00,1,0
ana@demo.com,Iran,New Zealand,2026-06-15 19:00,2,0
bruno@demo.com,Iran,New Zealand,2026-06-15 19:00,3,3
carla@demo.com,Iran,New Zealand,2026-06-15 19:00,2,3
diego@demo.com,Iran,New Zealand,2026-06-15 19:00,0,3
ana@demo.com,France,Senegal,2026-06-16 13:00,3,4
bruno@demo.com,France,Senegal,2026-06-16 13:00,4,0
carla@demo.com,France,Senegal,2026-06-16 13:00,0,1
diego@demo.com,France,Senegal,2026-06-16 13:00,2,1
ana@demo.com,Iraq,Norway,2026-06-16 16:00,3,4
bruno@demo.com,Iraq,Norway,2026-06-16 16:00,4,0
carla@demo.com,Iraq,Norway,2026-06-16 16:00,0,1
diego@demo.com,Iraq,Norway,2026-06-16 16:00,1,3
ana@demo.com,Argentina,Algeria,2026-06-16 19:00,2,4
bruno@demo.com,Argentina,Algeria,2026-06-16 19:00,3,0
carla@demo.com,Argentina,Algeria,2026-06-16 19:00,4,1
diego@demo.com,Argentina,Algeria,2026-06-16 19:00,0,2
ana@demo.com,Austria,Jordan,2026-06-16 22:00,2,3
bruno@demo.com,Austria,Jordan,2026-06-16 22:00,3,2
carla@demo.com,Austria,Jordan,2026-06-16 22:00,4,3
diego@demo.com,Austria,Jordan,2026-06-16 22:00,0,4
ana@demo.com,Portugal,Congo DR,2026-06-17 11:00,1,2
bruno@demo.com,Portugal,Congo DR,2026-06-17 11:00,3,2
carla@demo.com,Portugal,Congo DR,2026-06-17 11:00,4,0
diego@demo.com,Portugal,Congo DR,2026-06-17 11:00,0,1
ana@demo.com,England,Croatia,2026-06-17 14:00,3,1
bruno@demo.com,England,Croatia,2026-06-17 14:00,3,4
carla@demo.com,England,Croatia,2026-06-17 14:00,0,4
diego@demo.com,England,Croatia,2026-06-17 14:00,1,4
ana@demo.com,Ghana,Panama,2026-06-17 17:00,0,3
bruno@demo.com,Ghana,Panama,2026-06-17 17:00,1,4
carla@demo.com,Ghana,Panama,2026-06-17 17:00,4,0
diego@demo.com,Ghana,Panama,2026-06-17 17:00,3,0
ana@demo.com,Uzbekistan,Colombia,2026-06-17 20:00,2,3
bruno@demo.com,Uzbekistan,Colombia,2026-06-17 20:00,3,4
carla@demo.com,Uzbekistan,Colombia,2026-06-17 20:00,4,0
diego@demo.com,Uzbekistan,Colombia,2026-06-17 20:00,2,2
ana@demo.com,Czechia,South Africa,2026-06-18 10:00,3,3
bruno@demo.com,Czechia,South Africa,2026-06-18 10:00,4,1
carla@demo.com,Czechia,South Africa,2026-06-18 10:00,0,2
diego@demo.com,Czechia,South Africa,2026-06-18 10:00,1,3
